system:time_start,SPI (16 days)
"Feb 2, 2009",-0.455
"Feb 18, 2009",-0.379
"Mar 6, 2009",-1.29
"Mar 22, 2009",-0.869
"Apr 7, 2009",-1.157
"Apr 23, 2009",-0.758
"May 9, 2009",1.199
"May 25, 2009",0.335
"Jun 10, 2009",-0.81
"Jun 26, 2009",-0.871
"Jul 12, 2009",-0.483
"Jul 28, 2009",-0.829
"Aug 13, 2009",-0.343
"Aug 29, 2009",0.452
"Sep 14, 2009",-0.524
"Sep 30, 2009",0.77
"Oct 16, 2009",-1.038
"Nov 1, 2009",-0.608
"Nov 17, 2009",0.15
"Dec 3, 2009",-1.063
"Dec 19, 2009",0.009
"Jan 1, 2010",-0.415
"Jan 17, 2010",1.168
"Feb 2, 2010",1.269
"Feb 18, 2010",0.829
"Mar 6, 2010",0.685
"Mar 22, 2010",0.714
"Apr 7, 2010",-0.122
"Apr 23, 2010",-0.116
"May 9, 2010",2.415
"May 25, 2010",1.038
"Jun 10, 2010",-0.37
"Jun 26, 2010",1.441
"Jul 12, 2010",1.691
"Jul 28, 2010",1.038
"Aug 13, 2010",3.614
"Aug 29, 2010",2.508
"Sep 14, 2010",2.25
"Sep 30, 2010",1.053
"Oct 16, 2010",1.129
"Nov 1, 2010",-0.473
"Nov 17, 2010",-0.494
"Dec 3, 2010",-0.236
"Dec 19, 2010",0.094
"Jan 1, 2011",-0.237
"Jan 17, 2011",-0.244
"Feb 2, 2011",-1.518
"Feb 18, 2011",-1.933
"Mar 6, 2011",0.244
"Mar 22, 2011",-0.635
"Apr 7, 2011",-0.07
"Apr 23, 2011",0.104
"May 9, 2011",0.463
"May 25, 2011",-0.852
"Jun 10, 2011",-1.223
"Jun 26, 2011",1.723
"Jul 12, 2011",-1.087
"Jul 28, 2011",-0.838
"Aug 13, 2011",-0.536
"Aug 29, 2011",-0.773
"Sep 14, 2011",-0.459
"Sep 30, 2011",-0.785
"Oct 16, 2011",-0.294
"Nov 1, 2011",0.748
"Nov 17, 2011",-0.288
"Dec 3, 2011",-0.057
"Dec 19, 2011",1.293
"Jan 1, 2012",-0.203
"Jan 17, 2012",-1.217
"Feb 2, 2012",-0.811
"Feb 18, 2012",-0.728
"Mar 5, 2012",-1.296
"Mar 21, 2012",0.798
"Apr 6, 2012",-0.762
"Apr 22, 2012",-0.109
"May 8, 2012",-0.387
"May 24, 2012",-0.524
"Jun 9, 2012",-0.694
"Jun 25, 2012",-0.804
"Jul 11, 2012",-0.619
"Jul 27, 2012",-0.416
"Aug 12, 2012",-0.477
"Aug 28, 2012",-0.509
"Sep 13, 2012",-0.472
"Sep 29, 2012",-0.989
"Oct 15, 2012",0.367
"Oct 31, 2012",-0.655
"Nov 16, 2012",0.384
"Dec 2, 2012",-0.01
"Dec 18, 2012",2.257
"Jan 1, 2013",2.164
"Jan 17, 2013",0.607
"Feb 2, 2013",0.231
"Feb 18, 2013",-1.167
"Mar 6, 2013",-0.072
"Mar 22, 2013",0.057
"Apr 7, 2013",0.511
"Apr 23, 2013",-0.687
"May 9, 2013",2.174
"May 25, 2013",1.51
"Jun 10, 2013",1.636
"Jun 26, 2013",2.298
"Jul 12, 2013",1.43
"Jul 28, 2013",-0.241
"Aug 13, 2013",-0.408
"Aug 29, 2013",-0.447
"Sep 14, 2013",-0.765
"Sep 30, 2013",-0.62
"Oct 16, 2013",0.181
"Nov 1, 2013",-0.17
"Nov 17, 2013",-1.609
"Dec 3, 2013",1.869
"Dec 19, 2013",1.715
"Jan 1, 2014",2.317
"Jan 17, 2014",1.225
"Feb 2, 2014",0.281
"Feb 18, 2014",1.724
"Mar 6, 2014",0.426
"Mar 22, 2014",-1.241
"Apr 7, 2014",1.26
"Apr 23, 2014",-0.678
"May 9, 2014",0.457
"May 25, 2014",-0.914
"Jun 10, 2014",1.059
"Jun 26, 2014",0.504
"Jul 12, 2014",1.536
"Jul 28, 2014",0.784
"Aug 13, 2014",-0.421
"Aug 29, 2014",-0.82
"Sep 14, 2014",-0.803
"Sep 30, 2014",-0.747
"Oct 16, 2014",-1.257
"Nov 1, 2014",-0.343
"Nov 17, 2014",0.146
"Dec 3, 2014",0.521
"Dec 19, 2014",0.896
"Jan 1, 2015",-1.307
"Jan 17, 2015",1.362
"Feb 2, 2015",1.826
"Feb 18, 2015",0.194
"Mar 6, 2015",-0.023
"Mar 22, 2015",-0.643
"Apr 7, 2015",-1.406
"Apr 23, 2015",0.915
"May 9, 2015",-1.313
"May 25, 2015",-1.117
"Jun 10, 2015",-1.119
"Jun 26, 2015",-0.808
"Jul 12, 2015",-0.979
"Jul 28, 2015",-0.336
"Aug 13, 2015",-0.444
"Aug 29, 2015",-0.769
"Sep 14, 2015",-0.702
"Sep 30, 2015",-0.79
"Oct 16, 2015",-1.497
"Nov 1, 2015",-0.555
"Nov 17, 2015",-1.156
"Dec 3, 2015",0.028
"Dec 19, 2015",0.585
"Jan 1, 2016",-0.313
"Jan 17, 2016",-1.494
"Feb 2, 2016",1.019
"Feb 18, 2016",-0.772
"Mar 5, 2016",1.12
"Mar 21, 2016",0.494
"Apr 6, 2016",0.414
"Apr 22, 2016",-0.5
"May 8, 2016",0.007
"May 24, 2016",1.559
"Jun 9, 2016",1.724
"Jun 25, 2016",1.578
"Jul 11, 2016",2.407
"Jul 27, 2016",1.337
"Aug 12, 2016",1.177
"Aug 28, 2016",1.535
"Sep 13, 2016",3.342
"Sep 29, 2016",2.485
"Oct 15, 2016",0.258
"Oct 31, 2016",2.594
"Nov 16, 2016",1.759
"Dec 2, 2016",-0.457
"Dec 18, 2016",-1.034
"Jan 1, 2017",0.174
"Jan 17, 2017",-0.209
"Feb 2, 2017",-1.423
"Feb 18, 2017",0.007
"Mar 6, 2017",-0.047
"Mar 22, 2017",0.93
"Apr 7, 2017",0.974
"Apr 23, 2017",2.545
"May 9, 2017",-1.247
"May 25, 2017",0.124
"Jun 10, 2017",0.26
"Jun 26, 2017",0.15
"Jul 12, 2017",0.034
"Jul 28, 2017",-0.119
"Aug 13, 2017",-0.472
"Aug 29, 2017",-0.538
"Sep 14, 2017",0.08
"Sep 30, 2017",0.851
"Oct 16, 2017",0.562
"Nov 1, 2017",1.045
"Nov 17, 2017",1.171
"Dec 3, 2017",0.064
"Dec 19, 2017",-0.117
"Jan 1, 2018",-0.126
"Jan 17, 2018",-1.215
"Feb 2, 2018",-0.971
"Feb 18, 2018",1.912
"Mar 6, 2018",0.682
"Mar 22, 2018",-0.524
"Apr 7, 2018",-1.339
"Apr 23, 2018",-0.741
"May 9, 2018",0.039
"May 25, 2018",-1.413
"Jun 10, 2018",0.029
"Jun 26, 2018",-0.46
"Jul 12, 2018",-0.954
"Jul 28, 2018",-0.269
"Aug 13, 2018",-0.566
"Aug 29, 2018",-0.139
"Sep 14, 2018",-0.702
"Sep 30, 2018",-0.976
"Oct 16, 2018",-0.699
"Nov 1, 2018",0.207
"Nov 17, 2018",-0.313
"Dec 3, 2018",0.044
"Dec 19, 2018",-0.387
"Jan 1, 2019",-0.319
"Jan 17, 2019",-0.625
"Feb 2, 2019",0.441
"Feb 18, 2019",0.442
"Mar 6, 2019",-0.526
"Mar 22, 2019",0.512
"Apr 7, 2019",-0.22
"Apr 23, 2019",0.493
"May 9, 2019",-0.77
"May 25, 2019",-0.539
"Jun 10, 2019",-1.136
"Jun 26, 2019",-0.883
"Jul 12, 2019",-0.872
"Jul 28, 2019",-0.557
"Aug 13, 2019",-0.387
"Aug 29, 2019",-0.74
"Sep 14, 2019",-0.828
"Sep 30, 2019",-0.699
"Oct 16, 2019",-1.487
"Nov 1, 2019",-1.289
"Nov 17, 2019",-1.186
"Dec 3, 2019",-0.138
"Dec 19, 2019",1.206
"Jan 1, 2020",-0.395
"Jan 17, 2020",-0.224
"Feb 2, 2020",0.014
"Feb 18, 2020",1.167
"Mar 5, 2020",0.337
"Mar 21, 2020",-0.083
"Apr 6, 2020",-0.219
"Apr 22, 2020",-0.597
"May 8, 2020",0.827
"May 24, 2020",1.054
"Jun 9, 2020",-0.415
"Jun 25, 2020",0.99
"Jul 11, 2020",-0.548
"Jul 27, 2020",-0.81
"Aug 12, 2020",0.928
"Aug 28, 2020",-0.385
"Sep 13, 2020",0.677
"Sep 29, 2020",0.301
"Oct 15, 2020",0.562
"Oct 31, 2020",-0.621
"Nov 16, 2020",0.365
"Dec 2, 2020",-0.083
"Dec 18, 2020",0.255
"Jan 1, 2021",0.108
"Jan 17, 2021",-0.121
"Feb 2, 2021",1.908
"Feb 18, 2021",-0.327
"Mar 6, 2021",-0.532
"Mar 22, 2021",-0.18
"Apr 7, 2021",-0.176
"Apr 23, 2021",-0.95
"May 9, 2021",0.146
"May 25, 2021",-0.511
"Jun 10, 2021",1.592
"Jun 26, 2021",-0.453
"Jul 12, 2021",-0.267
"Jul 28, 2021",-0.191
"Aug 13, 2021",1.071
"Aug 29, 2021",0.424
"Sep 14, 2021",0.561
"Sep 30, 2021",-0.437
"Oct 16, 2021",1.825
"Nov 1, 2021",1.498
"Nov 17, 2021",1.66
"Dec 3, 2021",-0.307
"Dec 19, 2021",0.06
"Jan 1, 2022",0.272
"Jan 17, 2022",-1.657
"Feb 2, 2022",-1.124
"Feb 18, 2022",0.111
"Mar 6, 2022",0.819
"Mar 22, 2022",-0.483
"Apr 7, 2022",1.158
"Apr 23, 2022",0.552
"May 9, 2022",1.036
"May 25, 2022",0.238
"Jun 10, 2022",0.235
"Jun 26, 2022",0.708
"Jul 12, 2022",1.195
"Jul 28, 2022",0.278
"Aug 13, 2022",1.064
"Aug 29, 2022",2.188
"Sep 14, 2022",0.339
"Sep 30, 2022",2.199
"Oct 16, 2022",0.462
"Nov 1, 2022",1.008
"Nov 17, 2022",1.16
"Dec 3, 2022",-0.944
"Dec 19, 2022",0.028
"Jan 1, 2023",-0.912
"Jan 17, 2023",-0.495
"Feb 2, 2023",0.204
