"system:time_start","SPI-1","1-month precip"
"Jan 1, 1994","0.335","272.142"
"Feb 1, 1994","1.297","357.973"
"Mar 1, 1994","2.574","479.118"
"Apr 1, 1994","-1.32","216.844"
"May 1, 1994","-0.456","190.564"
"Jun 1, 1994","-1.359","20.779"
"Jul 1, 1994","-1.051","16.658"
"Aug 1, 1994","0.15","66.537"
"Sep 1, 1994","-0.681","24.919"
"Oct 1, 1994","-1.115","59.599"
"Nov 1, 1994","-1.497","171.183"
"Dec 1, 1994","-0.698","304.862"
"Jan 1, 1995","-0.756","201.248"
"Feb 1, 1995","-1.778","175.865"
"Mar 1, 1995","-0.771","265.884"
"Apr 1, 1995","-0.317","291.231"
"May 1, 1995","0.045","248.951"
"Jun 1, 1995","0.977","137.958"
"Jul 1, 1995","0.281","87.409"
"Aug 1, 1995","-0.873","18.53"
"Sep 1, 1995","-0.329","53.087"
"Oct 1, 1995","0.593","304.373"
"Nov 1, 1995","-0.329","340.804"
"Dec 1, 1995","-0.721","301.647"
"Jan 1, 1996","1.019","316.92"
"Feb 1, 1996","-0.84","242.36"
"Mar 1, 1996","-1.637","199.24"
"Apr 1, 1996","1.325","414.748"
"May 1, 1996","-0.954","63.771"
"Jun 1, 1996","-0.051","80.244"
"Jul 1, 1996","-0.558","35.811"
"Aug 1, 1996","0.056","66.754"
"Sep 1, 1996","-0.583","58.959"
"Oct 1, 1996","2.121","622.677"
"Nov 1, 1996","-0.629","302.413"
"Dec 1, 1996","-0.695","304.991"
"Jan 1, 1997","-1.507","151.773"
"Feb 1, 1997","2.383","422.639"
"Mar 1, 1997","-1.662","208.812"
"Apr 1, 1997","-0.057","310.362"
"May 1, 1997","-0.73","159.564"
"Jun 1, 1997","-1.324","22.671"
"Jul 1, 1997","-0.663","37.383"
"Aug 1, 1997","-0.808","21.565"
"Sep 1, 1997","-0.779","17.136"
"Oct 1, 1997","-1.307","32.101"
"Nov 1, 1997","-0.595","302.1"
"Dec 1, 1997","-0.678","306.607"
"Jan 1, 1998","-2.274","101.693"
"Feb 1, 1998","0.364","303.684"
"Mar 1, 1998","0.085","320.176"
"Apr 1, 1998","-1.246","221.767"
"May 1, 1998","0.056","249.852"
"Jun 1, 1998","1.018","139.713"
"Jul 1, 1998","1.296","141.495"
"Aug 1, 1998","1.081","110.163"
"Sep 1, 1998","-0.147","67.543"
"Oct 1, 1998","0.369","272.49"
"Nov 1, 1998","0.428","451.769"
"Dec 1, 1998","0.103","388.278"
"Jan 1, 1999","1.144","324.896"
"Feb 1, 1999","-0.448","254.373"
"Mar 1, 1999","1.194","390.936"
"Apr 1, 1999","-1.213","224.718"
"May 1, 1999","-0.609","173.653"
"Jun 1, 1999","-0.737","51.987"
"Jul 1, 1999","-0.481","47.214"
"Aug 1, 1999","-0.828","20.422"
"Sep 1, 1999","-0.767","18.114"
"Oct 1, 1999","1.154","384.596"
"Nov 1, 1999","-0.116","373.427"
"Dec 1, 1999","0.229","402.958"
"Jan 1, 2000","0.287","269.002"
